id,data_inversa,ano,mes,uf,br,km,obra_duplicada,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
263548,18/01/2020,2020,1,MG,381,356,sem obra,1,6,0,0,0,5,1,0,3,-1.984.644.336,-4.316.611.234
263571,18/01/2020,2020,1,MG,381,367,sem obra,5,2,0,1,0,1,0,1,2,-1.984.959.351,-4.327.455.396
263602,18/01/2020,2020,1,MG,381,917.5,sem obra,5,2,0,1,0,1,0,1,2,-2.276.700.121,-4.617.875.277
263636,18/01/2020,2020,1,MG,381,541.4,sem obra,1,1,0,0,0,1,0,0,1,-2.026.492.509,-4.442.256.682
263661,18/01/2020,2020,1,MG,381,483.7,sem obra,5,4,0,0,1,2,1,1,4,-1.995.956.339,-4.408.424.087
263694,19/01/2020,2020,1,MG,381,939.8,sem obra,13,3,1,1,1,0,0,2,2,-2.284.701.434,-4.633.321.175
263735,19/01/2020,2020,1,MG,381,510,sem obra,5,1,0,1,0,0,0,1,1,-2.007.738.209,-4.430.434.488
263773,19/01/2020,2020,1,MG,381,704.5,sem obra,5,3,0,3,0,0,0,3,1,-2.131.129.545,-451.638.937
263774,19/01/2020,2020,1,MG,381,349,sem obra,5,6,0,2,2,2,0,4,2,-1.985.891.083,-431.071.366
263775,19/01/2020,2020,1,MG,381,410,Lote7,5,2,0,0,2,0,0,2,1,-1.974.713.691,-435.474.658
263787,19/01/2020,2020,1,MG,381,543.9,sem obra,5,3,0,1,0,2,0,1,2,-2.027.336.801,-4.442.585.498
263816,19/01/2020,2020,1,MG,381,799.2,sem obra,5,1,0,1,0,0,0,1,1,-2.197.237.106,-4.563.123.585
263846,19/01/2020,2020,1,MG,381,448.2,sem obra,1,5,0,0,0,1,4,0,1,-1.982.305.506,-4.382.773.183
263862,19/01/2020,2020,1,MG,381,183.9,sem obra,5,1,0,0,1,0,0,1,1,-1.906.289.192,-4.216.283.418
263914,19/01/2020,2020,1,MG,381,502.9,sem obra,5,4,0,0,1,1,2,1,1,-2.003.619.694,-4.424.586.303
263923,19/01/2020,2020,1,MG,381,873.9,sem obra,5,2,0,2,0,0,0,2,2,-2.242.067.233,-4.596.538.644
263926,19/01/2020,2020,1,MG,381,452,sem obra,5,2,0,0,1,1,0,1,2,-1.983.436.712,-4.385.936.379
263937,20/01/2020,2020,1,MG,381,345,sem obra,5,3,0,1,0,2,0,1,1,-1.983.813.083,-430.947.794
263938,20/01/2020,2020,1,MG,381,712.6,sem obra,5,1,0,1,0,0,0,1,1,-2.139.692.643,-4.520.681.689
263947,20/01/2020,2020,1,MG,381,613.3,sem obra,1,1,0,0,0,1,0,0,1,-207.275.927,-4.477.176.647
263959,19/01/2020,2020,1,MG,381,507,sem obra,1,1,0,0,0,0,1,0,1,-2.005.643.192,-4.428.663.308
264028,20/01/2020,2020,1,MG,381,480,sem obra,5,4,0,2,0,2,0,2,3,-1.995.749.597,-4.407.899.901
264085,20/01/2020,2020,1,MG,381,708,sem obra,1,1,0,0,0,1,0,0,1,-21.370.524,-45.188.652
264131,20/01/2020,2020,1,MG,381,582.9,sem obra,1,1,0,0,0,1,0,0,1,-2.051.930.642,-4.462.405.985
264145,21/01/2020,2020,1,MG,381,455,sem obra,5,2,0,0,1,1,0,1,2,-1.983.953.938,-4.387.751.162
264155,20/01/2020,2020,1,MG,381,480.3,sem obra,5,1,0,1,0,0,0,1,1,-1.995.931.561,-4.408.825.597
264200,21/01/2020,2020,1,MG,381,501,sem obra,1,5,0,0,0,5,0,0,2,-2.003.146.447,-442.377.893
264212,21/01/2020,2020,1,MG,381,671,sem obra,5,4,0,2,1,1,0,3,1,-2.108.945.416,-4.506.864.195
