id,data_inversa,ano,mes,uf,br,km,Duplicação,UPS/km,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
263492,18/01/2020,2020,1,MG,381,451,sem obra,0.0147058823529412,13,2,1,1,0,0,0,1,1
263506,18/01/2020,2020,1,MG,381,895.1,sem obra,0.00565610859728507,5,3,0,3,0,0,0,3,1
263511,18/01/2020,2020,1,MG,381,486.5,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
263513,18/01/2020,2020,1,MG,381,856,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263548,18/01/2020,2020,1,MG,381,356,sem obra,0.00113122171945701,1,6,0,0,0,5,1,0,3
263571,18/01/2020,2020,1,MG,381,367,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
263602,18/01/2020,2020,1,MG,381,917.5,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
263636,18/01/2020,2020,1,MG,381,541.4,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
263661,18/01/2020,2020,1,MG,381,483.7,sem obra,0.00565610859728507,5,4,0,0,1,2,1,1,4
263694,19/01/2020,2020,1,MG,381,939.8,sem obra,0.0147058823529412,13,3,1,1,1,0,0,2,2
263735,19/01/2020,2020,1,MG,381,510,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263773,19/01/2020,2020,1,MG,381,704.5,sem obra,0.00565610859728507,5,3,0,3,0,0,0,3,1
263774,19/01/2020,2020,1,MG,381,349,sem obra,0.00565610859728507,5,6,0,2,2,2,0,4,2
263775,19/01/2020,2020,1,MG,381,410,Lote 7,0.133333333333333,5,2,0,0,2,0,0,2,1
263787,19/01/2020,2020,1,MG,381,543.9,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
263816,19/01/2020,2020,1,MG,381,799.2,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263846,19/01/2020,2020,1,MG,381,448.2,sem obra,0.00113122171945701,1,5,0,0,0,1,4,0,1
263862,19/01/2020,2020,1,MG,381,183.9,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
263914,19/01/2020,2020,1,MG,381,502.9,sem obra,0.00565610859728507,5,4,0,0,1,1,2,1,1
263923,19/01/2020,2020,1,MG,381,873.9,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,2
263926,19/01/2020,2020,1,MG,381,452,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
263937,20/01/2020,2020,1,MG,381,345,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,1
263938,20/01/2020,2020,1,MG,381,712.6,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
263947,20/01/2020,2020,1,MG,381,613.3,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
263959,19/01/2020,2020,1,MG,381,507,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
264028,20/01/2020,2020,1,MG,381,480,sem obra,0.00565610859728507,5,4,0,2,0,2,0,2,3
264085,20/01/2020,2020,1,MG,381,708,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
264131,20/01/2020,2020,1,MG,381,582.9,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
264145,21/01/2020,2020,1,MG,381,455,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
264155,20/01/2020,2020,1,MG,381,480.3,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264200,21/01/2020,2020,1,MG,381,501,sem obra,0.00113122171945701,1,5,0,0,0,5,0,0,2
